ratio,tag,x,y,sector,skill
1.5,Operations,0.57819,0.86682,,
1.12,Database,0.61363,0.68666,,
1.32,Network,0.53984,0.71231,,
1.5,SQL,0.47992,0.71771,Data,SQL
1.43,Project management,0.48109,0.68706,,
2.64,Software development,0.32659,0.86214,,
1.62,Security,0.41012,0.66324,Industry-specific,Security
2.08,Java,0.34602,0.72112,Software Development,Java
2.31,Analytics,0.32,0.73875,Communication,Analytics
1.19,Oracle,0.44232,0.52571,Data,Oracle
0.87,Microsoft Windows,0.47971,0.41646,I.T. Administration,Microsoft Windows
2.11,Architecture,0.30071,0.63402,,
4.13,Computer science,0.20363,0.84022,,
2.11,JavaScript,0.27949,0.58995,Software Development,JavaScript
1.21,Microsoft SQL Server,0.36584,0.4433,Software Development,Microsoft SQL Server
2.2,Compliance,0.26422,0.58106,Industry-specific,Compliance
2.05,Agile,0.27253,0.55938,Management,Agile
1.2,Hardware,0.35262,0.42313,,
2.32,Infrastructure,0.25107,0.58288,I.T. Administration,Infrastructure
1.61,Linux,0.29475,0.47577,Software Development,Linux
1.47,Software deployment,0.30729,0.45259,,
1.33,.NET,0.31867,0.42503,Software Development,.NET
0.97,HTML,0.36558,0.35595,Software Development,HTML
1.03,Unix,0.34594,0.35715,Software Development,Unix
1.74,Verification and validation,0.26376,0.45989,,
1.54,SDLC,0.28023,0.43083,Systems Analysis/Design,SDLC
1.33,Business analysis,0.29809,0.39605,,
1.27,Research,0.29004,0.36882,Communication,Research
0.7,Operating systems,0.3781,0.26425,,
1.53,UI,0.25042,0.3843,,
0.98,XML,0.3069,0.30045,Software Development,XML
0.99,Customer service,0.298,0.29482,,
1.33,Mobile,0.25335,0.33745,Management,Mobile
1.37,Strategy,0.24754,0.34023,Management,Strategy
2.12,Web services,0.19582,0.41439,,
1.93,CSS,0.20006,0.3866,Software Development,CSS
0.86,Upgrades,0.29768,0.2571,,
0.81,Budget,0.28309,0.22923,,
1.18,CRM,0.23126,0.2729,,
1.22,Automation,0.2273,0.27743,Systems Analysis/Design,Automation
1.23,Audit,0.22425,0.27616,,
2.33,C#,0.15753,0.36739,Software Development,C#
0.91,C++,0.25033,0.22828,Hardware/Embedded Software,C++
1.55,Business process,0.1865,0.28886,,
1.38,Health care,0.19579,0.26957,,
0.75,Senior management,0.26397,0.19858,,
0.83,Workflow,0.25093,0.20787,Data,Workflow
2.04,Mentorship,0.15706,0.32118,,
1.33,Web applications,0.18623,0.24718,,
0.89,Internet,0.22584,0.2012,Communication,Internet
1.03,Insurance,0.20653,0.21295,Management,Insurance
1.71,Government,0.15706,0.26885,Industry-specific,Government
1.19,Interfaces,0.18296,0.21756,Management,Interfaces
1.21,Business intelligence,0.18106,0.21875,,
0.56,Microsoft Visio,0.25629,0.14364,Industry-specific,Microsoft Visio
0.46,Electronics,0.27763,0.12784,Hardware/Embedded Software,Electronics
1.23,System administration,0.16359,0.20136,,
2.89,Cloud,0.10576,0.30585,,
0.62,Desktop,0.22697,0.14173,,
1.21,Metrics,0.16231,0.1958,I.T. Administration,Metrics
1,Unit testing,0.17587,0.17603,,
0.97,MySQL,0.17814,0.17333,Data,MySQL
1.22,Active Directory,0.15823,0.19271,I.T. Administration,Active Directory
1.6,RDBMS,0.13701,0.21891,,
1.29,Scrum,0.15208,0.19652,Management,Scrum
1.34,SAP,0.14883,0.19985,Management,SAP
2.21,jQuery,0.11537,0.25496,Software Development,jQuery
1.7,J2EE,0.13011,0.22137,Software Development,J2EE
0.89,Test plans,0.17851,0.15912,,
0.84,Team leadership,0.18377,0.15348,,
0.72,Microsoft SharePoint,0.19574,0.14086,Industry-specific,Microsoft SharePoint
1.19,Data warehouse,0.15199,0.18064,,
1.68,API,0.12713,0.21414,Software Development,API
1.09,Switches,0.15638,0.17047,,
0.58,PL/SQL,0.21224,0.12402,Data,PL/SQL
1.2,Human resources,0.14699,0.17691,,
1.18,Storage,0.14839,0.17524,I.T. Administration,Storage
2.4,Web development,0.10398,0.24987,,
1.11,Cisco,0.1519,0.16928,I.T. Administration,Cisco
1.37,IP,0.13543,0.18564,I.T. Administration,IP
0.51,Acceptance testing,0.22286,0.11267,,
0.76,Microsoft Exchange,0.17936,0.13705,,
1.81,System integration,0.11519,0.20811,,
2.3,OOP,0.10111,0.23304,,
0.59,Requirements elicitation,0.19793,0.11632,,
1.04,Project planning,0.14743,0.15356,,
1.29,Data analysis,0.13187,0.17071,,
0.76,Retail,0.16986,0.12974,Management,Retail
3.46,RESTful,0.07839,0.27147,,
0.53,Recovery,0.19996,0.10584,,
0.72,Stored procedures,0.171,0.12299,,
1.16,ETL,0.13168,0.1534,Data,ETL
0.7,Backup,0.17002,0.11863,I.T. Administration,Backup
4.11,Python,0.06966,0.28632,Software Development,Python
0.96,DBA,0.14295,0.13657,Data,DBA
0.36,IBM,0.23275,0.08353,I.T. Administration,IBM
1.11,Data modeling,0.13095,0.14562,,
0.61,Web portals,0.17411,0.10664,,
1.61,System requirements,0.10621,0.17047,,
1.25,ERP,0.12016,0.15062,Systems Analysis/Design,ERP
3.45,Security clearance,0.07191,0.24845,,
1.27,Ajax,0.11777,0.14927,,
1.04,Process improvement,0.12942,0.13506,,
2.07,Organizational skills,0.09168,0.18953,,
2.21,Legal,0.08749,0.19326,,
1.08,Change management,0.12482,0.13498,,
3.44,IT management,0.06995,0.24066,,
1.07,Performance tuning,0.12501,0.13339,,
1.36,VMware,0.10939,0.1488,I.T. Administration,VMware
1.91,Perl,0.09085,0.17357,Software Development,Perl
1.54,Systems engineering,0.10099,0.15594,,
1.24,Logistics,0.11167,0.1384,Management,Logistics
2,Firewall,0.08731,0.17492,I.T. Administration,Firewall
1.43,SOAP,0.10334,0.14777,Software Development,SOAP
1.81,Taxes,0.09107,0.16476,,
0.26,Inventory,0.24058,0.06138,,
0.82,Routers,0.13351,0.10989,I.T. Administration,Routers
0.91,Systems analysis,0.12699,0.11521,,
1.27,Database design,0.10637,0.1353,,
2.82,HTML5,0.07149,0.20128,Software Development,HTML5
1.67,UX,0.09253,0.15451,Communication,UX
0.49,Property and casualty insurance,0.16865,0.08242,,
0.75,Microsoft Visual Studio,0.13617,0.10195,,
0.84,Status reports,0.12817,0.10727,,
1.48,PHP,0.09588,0.14205,Software Development,PHP
0.82,Electrical engineering,0.12871,0.10552,,
0.25,HP,0.22959,0.05828,I.T. Administration,HP
1.22,Data center,0.10475,0.12728,,
0.47,IBM DB2,0.16858,0.079,,
0.86,Media,0.12299,0.10608,,
1.75,SOA,0.08597,0.15023,Software Development,SOA
1.84,Automated testing,0.08289,0.15253,,
0.67,Wireless,0.13353,0.08925,I.T. Administration,Wireless
0.91,LAN,0.11368,0.10354,I.T. Administration,LAN
0.67,Use cases,0.13268,0.08829,,
0.58,Microsoft Project,0.1411,0.0825,Industry-specific,Microsoft Project
0.4,Visual Basic,0.17007,0.06828,Software Development,Visual Basic
0.86,Functional requirements,0.11402,0.0975,,
1.32,Shell scripting,0.09156,0.12109,,
1.36,Energy,0.08963,0.1222,Hardware/Embedded Software,Energy
0.77,Dashboard,0.11803,0.09107,,
1.22,Risk management,0.0938,0.1141,,
0.68,English,0.12455,0.08409,Communication,English
0.72,Apache HTTP Server,0.12035,0.08639,,
1.89,TCP,0.0735,0.13895,,
1.51,Brand,0.08152,0.12331,,
1.52,MVC,0.08132,0.12331,Software Development,MVC
1.82,Design patterns,0.07399,0.13482,,
2.75,Software design,0.05993,0.16476,,
0.77,Microsoft IIS,0.11208,0.08679,,
0.72,JSP,0.11643,0.08345,Software Development,JSP
